candle_24h,nb,V,V_EUR,Pmin,PQ1,Pmed,PQ3,Pmax,P_open,P_close,return
16677,2550,3505.033091869981,0.0,202.5,204.07,205.0,206.2975,209.0,206.48,205.27882,-0.005817415730337048
16678,4099,4946.39833038003,0.0,201.01506,203.61,205.5809,206.2,207.98,205.2889,205.44,0.0007360358986773535
16679,4022,4668.802054000009,0.0,200.91561,202.89334,203.49,204.006925,206.97,206.0,202.7899,-0.01558300970873792
16680,2566,3735.1530027799895,0.0,201.41,203.34,203.98,204.62845,206.52262,202.8399,205.0,0.010649285470955172
16681,3112,4364.5026338899515,0.0,202.12396,203.55997,204.35,204.893165,205.82999,205.0,204.0,-0.004878048780487805
16682,2190,3527.005913870001,0.0,203.58355,206.082035,206.7399,207.25965,208.0,204.0,207.0,0.014705882352941175
16683,2538,4717.022413470005,0.0,206.25,208.7551825,210.05,210.767,213.89311,206.89,211.25,0.021074000676688163
16684,2620,4243.510706240005,0.0,210.711,214.359945,215.32282999999998,216.03,218.49,211.24978,215.1299,0.018367451080895825
16685,2310,3430.827826859995,0.0,214.21957999999998,215.341,215.70075,216.00977999999998,217.55555,214.9481,215.69,0.003451530857914012
16686,3235,5433.610883869984,0.0,215.2568,217.69433,218.17002000000002,219.63476,220.48297999999997,215.8,217.89,0.009684893419833062
16687,2945,4048.486771779981,0.0,213.19775,214.92,215.47717999999998,216.10511,218.99,217.88,214.11,-0.017303102625298244
16688,2733,4050.337912189981,0.0,211.0,212.69088,213.2,213.88,216.39,213.49,212.15,-0.006276640592065218
16689,2421,3942.467849179993,0.0,211.82,212.73,213.2699,213.98,214.83,212.15,212.42,0.001272684421399867
16690,2101,2119.2736175499867,0.0,207.43,208.7594,211.0301,212.10976000000002,212.98997999999997,212.87,208.1,-0.022408042467233567
16691,2640,3415.911246579997,0.0,202.0,203.9999,205.74,207.0,208.9,208.1,203.521,-0.02200384430562233
16692,4293,4773.76174363998,0.0,200.86,202.95689,204.35452,205.23039,207.2,203.84,204.65,0.003973704866562021
16693,3014,3672.74714992997,0.0,203.58,204.67,205.11,205.4785575,205.99,204.16,204.8,0.0031347962382445864
16694,3283,4909.559393220028,0.0,200.11,202.23,202.99,203.58373,205.51001000000002,204.7799,202.7,-0.010156758549056859
16695,3214,4922.687729930015,0.0,201.67979,203.2592425,204.26051,205.51750249999998,208.55998,202.8,204.13,0.006558185404339172
16696,2835,3747.994284729964,0.0,203.50704,204.75000500000002,205.33828,205.7405,206.66,204.3,206.53998,0.010964170337738631
16697,1407,1567.7906961399922,0.0,203.88002,204.75,205.16,205.879895,206.53,206.52,204.0,-0.012202208018593891
16698,1451,924.0038591800037,0.0,203.50704,204.49,204.79,204.999685,205.5,204.59,204.51001000000002,-0.00039097707610347203
16699,2712,3840.6960029100014,0.0,200.631,201.55,202.87121,203.299,204.81,204.81,202.76625,-0.009978760802695124
16700,3546,5022.779368870038,0.0,201.01,203.18,206.64,207.18,208.0,202.73998,206.62,0.01913791251237177
16701,2467,3086.4836315499847,0.0,205.0,205.89,206.4,206.8,208.0,206.84,205.39,-0.007010249468188054
16702,2816,3960.1351852899897,0.0,205.24306,206.46775,207.00001,208.66318,210.24,205.39,209.37998000000002,0.019426359608549604
16703,3193,3665.680789259981,0.0,208.1024,209.95307000000003,210.96,211.863,213.0,209.37998000000002,209.34978999999998,-0.00014418761526281636
16704,1383,1507.4204970999988,0.0,207.3649,208.5,208.89692,209.349685,210.0,209.34958,208.75172,-0.0028557974656552797
16705,1421,1490.7165892999972,0.0,207.0,207.79,207.98001000000002,208.22534,209.0,208.69,207.01,-0.008050218026738257
16706,3482,4866.999825040033,0.0,207.31998000000002,211.30214500000002,211.9,212.24,213.05,207.48,212.91581000000002,0.02619919992288415
16707,2943,3870.2983835100044,0.0,209.82247999999998,210.845,211.4,211.85,213.3,212.62597000000002,210.11,-0.01183284431342033
16708,2112,2970.084137199996,0.0,209.14,210.6541625,211.32119,211.75,212.38998999999998,210.11,211.48,0.006520394079291686
16709,2129,2729.63981655,0.0,211.01,211.88,212.32,212.78,213.48,211.45997999999997,212.66,0.005674927236822755
16710,2474,3677.627890630017,0.0,209.02238,211.08723999999998,211.629,212.9,213.9,212.94997999999998,211.75,-0.005635032226816883
16711,1247,1332.623273619998,0.0,211.035,211.89999,212.3,212.605,213.0,211.52998,212.35477999999998,0.0038992108825425618
16712,1066,1087.7400510799996,0.0,210.6,212.05461499999998,212.35477999999998,212.566155,212.75,212.05478,212.66,0.0028540738388448624
16713,2899,3393.942422879985,0.0,210.0,211.85,212.4,213.3,214.95092999999997,212.659,214.59,0.009080264649038992
